"Forlag id";"Original tittel";"Internasjonal tittel";"ISBN-prefix"
"22740";"Helsinki School of Economics Print";"Helsinki School of Economics Print";
"22741";"McDonald Institute";"McDonald Institute";
"22742";"International Building Performance Simulation Association (IBPSA)";"International Building Performance Simulation Association (IBPSA)";
"22747";"Hugvísindastofnun Háskóla Íslands";"Hugvísindastofnun Háskóla Íslands";
"25071";"SAGE Publications India";"SAGE Publications India";
"25073";"Aletheia - Associação Científica e Cultural";"Aletheia - Associação Científica e Cultural";
"25074";"Pensa multimedia";"Pensa multimedia";
"25075";"SciTePress";"SciTePress";"978-989-758, 978-989-8565"
"25081";"RCOG Press";"RCOG Press";
"25082";"Ibicura";"Ibicura";
"25083";"Michel Houdiard Editeur";"Michel Houdiard Editeur";
"25085";"Sprotin";"Sprotin";
"25090";"Gyldendal Juridisk";"Gyldendal Juridisk";
"25095";"Hermes Text";"Hermes Text";
"25100";"Axac Editorial";"Axac Editorial";
"25105";"European Narratology Network";"European Narratology Network";
"25116";"Svenska vitterhetssamfundet";"Svenska vitterhetssamfundet";
"25130";"Prof. Marin Drinov Academic Publishing House";"Prof. Marin Drinov Academic Publishing House";
"25131";"Eurocontrol";"Eurocontrol";
"25132";"Ospar Commision";"Ospar Commision";
"25133";"DKMKA";"DKMKA";
"25134";"Lund University Open Access";"Lund University Open Access";
"25135";"Natalis";"Natalis";
"25137";"City University of Hong Kong Press";"City University of Hong Kong Press";
"25139";"Instituto Geológico y Minero de Espana";"Instituto Geológico y Minero de Espana";
"25141";"Nidaros Domkirkes Restaureringsarbeiders Forlag";"Nidaros Domkirkes Restaureringsarbeiders Forlag";
"25142";"Central China Normal University Press";"Central China Normal University Press";
"25145";"Valancourt Books";"Valancourt Books";
"25146";"Beijing Normal University Press";"Beijing Normal University Press";
"25149";"Geneva Centre for the Democratic Control of Armed Forces";"Geneva Centre for the Democratic Control of Armed Forces";
"25151";"Turbine Forlaget";"Turbine Forlaget";
"25152";"Tiderne Skifter";"Tiderne Skifter";
"25154";"Comunicacion social. Ediciones y publicaciones";"Comunicacion social. Ediciones y publicaciones";
"25155";"Posth Verlag";"Posth Verlag";
"25156";"University Press of Florida";"University Press of Florida";"978-0-8130"
"25159";"Ch. Links Verlag";"Ch. Links Verlag";"978-3-86153"
"25160";"Jordan Publishing Limited";"Jordan Publishing Limited";
"25161";"BWV - Berliner Wissenschafts-Verlag";"BWV - Berliner Wissenschafts-Verlag";
"25162";"Asian Federation of Natural Language Processing";"Asian Federation of Natural Language Processing";
"25167";"VNIRO Publishing";"VNIRO Publishing";
"25172";"de boeck duculot";"de boeck duculot";
"25173";"Michael Imhof Verlag";"Michael Imhof Verlag";
"25174";"Practical Action Publishing";"Practical Action Publishing";
"25175";"Society for Electronics, Telecommunications, Automatics and Informatics";"Society for Electronics, Telecommunications, Automatics and Informatics";
"25176";"Technische Universiteit Eindhoven";"Technische Universiteit Eindhoven";
"25177";"Komunitas Bambu";"Komunitas Bambu";
"25179";"Arnold Schönberg Center";"Arnold Schönberg Center";
"25181";"Asociación Española de Lingüística del Corpus";"Asociación Española de Lingüística del Corpus";
"25182";"Les Editions de l'Ecole Polythechnique";"Les Editions de l'Ecole Polythechnique";
"25183";"Editions Didier Millet Pte Ltd, Singapore";"Editions Didier Millet Pte Ltd, Singapore";
"25184";"Shanghai Translation Publishing House";"Shanghai Translation Publishing House";
"25186";"Schwabe Verlag";"Schwabe Verlag";
"25190";"Kassandra";"Kassandra";
"25191";"Formatex Research Center";"Formatex Research Center";
"25192";"Azbukovnik";"Azbukovnik";
"25193";"Les Herbes rouges";"Les Herbes rouges";
"25194";"SYSSEC - Forschungsgruppe Systemsicherheit";"SYSSEC - Forschungsgruppe Systemsicherheit";
"25198";"Nowe Horizonty";"Nowe Horizonty";
"25219";"Information Processing Society of Japan";"Information Processing Society of Japan";
"25220";"ASA Publishers";"ASA Publishers";
"25221";"Olzog Verlag GmbH";"Olzog Verlag GmbH";
"25222";"Demeter Press";"Demeter Press";
"25223";"Metropolis Verlag für Ökonomie, Gesellscahft und Politik GmbH";"Metropolis Verlag für Ökonomie, Gesellscahft und Politik GmbH";
"25225";"MIET publications";"MIET publications";
"25230";"Stowarzyszenie Przyjaciol Czasopisma o Tematyce Audiowizualnej EKRANy w Krakowie";"Stowarzyszenie Przyjaciol Czasopisma o Tematyce Audiowizualnej EKRANy w Krakowie";
"25236";"Arizona Center for Medieval and Renaissance Studies";"Arizona Center for Medieval and Renaissance Studies";
"25244";"Universitätsverlag Göttingen";"Göttingen University Press";"978-3-86395"
"25250";"Akademika forlag";"Akademika forlag";
"25264";"T & AD Poyser";"T & AD Poyser";
"25266";"Verlag Irena Regener";"Verlag Irena Regener";
"25267";"ediciones TRILCE";"ediciones TRILCE";
"25278";"Presses des Mines";"Presses des Mines";
"25279";"Glyndwr University";"Glyndwr University";
"25286";"Bokförlaget Atlas";"Bokförlaget Atlas";"978-91-85677"
"25287";"Technical University of Crete Chania Crete Greece";"Technical University of Crete Chania Crete Greece";
"25289";"Carysfort Press";"Carysfort Press";
"25291";"China Environmental Sciences Press";"China Environmental Sciences Press";
"25293";"Verlag Regionalkultur";"Verlag Regionalkultur";
"25295";"Editions universitaires europeénnes";"Editions universitaires europeénnes";
"25296";"Czech Concrete Society";"Czech Concrete Society";
"25297";"Editoral Grupo destiempos";"Editoral Grupo destiempos";
"25298";"Scitsiugnil Press";"Scitsiugnil Press";
"25300";"Szent István Társulat";"Szent István Társulat";
"25302";"Energynautics GmbH";"Energynautics GmbH";
"25304";"Viguera";"Viguera";
"25305";"Hal Leonard";"Hal Leonard";
"25310";"Irish Texts Society";"Irish Texts Society";
"25312";"International Solar Energy Society";"International Solar Energy Society";
"25313";"Foreign Language Teaching and Research Press";"Foreign Language Teaching and Research Press";
"25315";"Landesmuseum für Vorgeschichte";"Landesmuseum für Vorgeschichte";
"25319";"International Society of the Learning Sciences";"International Society of the Learning Sciences";
"25323";"Information Systems Evaluation and Integration Group";"Information Systems Evaluation and Integration Group";
"25328";"International Astronautical Federation";"International Astronautical Federation";
"25338";"URSS";"URSS";
"25343";"EyeCorner Press";"EyeCorner Press";
"25344";"American Society of Naval Engineers";"American Society of Naval Engineers";
"25345";"Padova University Press";"Padova University Press";
"25348";"Centre for Languages and Literature";"Centre for Languages and Literature";
"25352";"Goodfellow Publishers";"Goodfellow Publishers";
"25357";"Naval Institute Press";"Naval Institute Press";
"25358";"Institute of Sociology of the Academy of Sciences of the Czech Republic";"Institute of Sociology of the Academy of Sciences of the Czech Republic";
"25359";"Libris";"Libris";
"25360";"Kardamitsas Publications";"Kardamitsas Publications";
"25361";"Panepistimiakes Ekdoseis Kritis";"Crete University Press";"978-960-524"
"25363";"Green Lines Institute";"Green Lines Institute";
"25364";"Cierre Edizioni";"Cierre Edizioni";
"25366";"Manifesto";"Manifesto";
"25367";"Torst";"Torst";
"25368";"Centre d’information et de recherche sur l’Allemagne contemporaine";"Centre d’information et de recherche sur l’Allemagne contemporaine";
"25386";"CQ Press";"CQ Press";
"25387";"Ask Forlag";"Ask Forlag";"978-82-922"
"25393";"Bokförlaget BAS";"Bokförlaget BAS";"978-91-7246"
"25394";"Publications des Universités de Rouen et du Havre";"Publications des Universités de Rouen et du Havre";
"25401";"Shetland Times Ltd";"Shetland Times Ltd";
"25406";"Forlaget Chaos";"Forlaget Chaos";
"25407";"Universitätsverlag der TU Berlin";"Universitätsverlag der TU Berlin";"978-3-7983"
"25412";"Cascade Books";"Cascade Books";
"25413";"Editorial Dunken";"Editorial Dunken";
"25415";"Éditions d'Organisation";"Éditions d'Organisation";
"25416";"Harvard Education Press";"Harvard Education Press";"978-1-891792"
"25417";"Ridgeview Publishing Company";"Ridgeview Publishing Company";
"25418";"Istanbul Bilgi Universitesi";"Istanbul Bilgi Universitesi";
"25420";"Forlaget Historie & Kultur AS";"Forlaget Historie & Kultur AS";
"25424";"Thorleif Dahls Kulturbibliotek";"Thorleif Dahls Kulturbibliotek";
"25448";"Caister Academic Press";"Caister Academic Press";
"25449";"Air University Press";"Air University Press";"978-1-58566"
"25450";"Pearson Education Academic Publisher";"Pearson Education Academic Publisher";
"25451";"Bock+Herchen Verlag";"Bock+Herchen Verlag";
"25454";"Computus Druck Satz & Verlag";"Computus Druck Satz & Verlag";
"25455";"University of Oklahoma Press";"University of Oklahoma Press";"978-0-8061"
"25458";"Vilnius Gediminas Technical University Press";"Vilnius Gediminas Technical University Press";
"25459";"InterVarsity Press Academic";"InterVarsity Press Academic";
"25493";"Vestnik Barents-tsentra MGPU";"Vestnik Barents-tsentra MGPU";
"25495";"Western Indian Ocean Marine Science Association (WIOMSA)";"Western Indian Ocean Marine Science Association (WIOMSA)";
"25501";"E.M.E & InterCommunications s.p.r.l.";"E.M.E & InterCommunications s.p.r.l.";
"25551";"Towarzystwo Naukowe w Toruniu";"Towarzystwo Naukowe w Toruniu";
"25579";"07 Gruppen";"07 Gruppen";
"25580";"John Donald";"John Donald";
"25581";"Edition gesowip";"Edition gesowip";
"25582";"Research-publishing.net";"Research-publishing.net";"978-1-908416"
"25587";"Public service review European Union";"Public service review European Union";
"25593";"The European Academy for Sustainable Rural Development";"The European Academy for Sustainable Rural Development";
"25616";"Bokvennen forlag";"Bokvennen forlag";"978-97-88274"
"25617";"University of Calgary Press";"University of Calgary Press";"978-01-55238"
"25618";"NATO Defence College";"NATO Defence College";
"25619";"Strategic Studies Institute of the U.S. Army War College";"Strategic Studies Institute of the U.S. Army War College";
"25626";"Forlaget Alfa";"Forlaget Alfa";
"25632";"Octaedro";"Octaedro";
"25633";"ISCRAM";"ISCRAM";
"25634";"School of Advanced Study, University of London";"School of Advanced Study, University of London";
"25638";"Centre for Research in Rural and Industrial Development (CRRID)";"Centre for Research in Rural and Industrial Development (CRRID)";
"25640";"Nationalencyklopedin";"Nationalencyklopedin";
"25641";"iUniverse";"iUniverse";
"25642";"Margraf Publisher";"Margraf Publisher";
"25643";"International Monetary Fund";"International Monetary Fund";
"25645";"University of Macerata  Press publisher";"University of Macerata  Press publisher";
"25647";"Juta Publishers";"Juta Publishers";
"25649";"International Doctoral Research Centre";"International Doctoral Research Centre";
"25650";"Optics Info Base, Optical Society of America";"Optics Info Base, Optical Society of America";
"25651";"Crossway Academic";"Crossway Academic";
"25652";"Dartmouth College Press, UPNE";"Dartmouth College Press, UPNE";
"25653";"Alaska Sea Grant";"Alaska Sea Grant";
"25662";"Premiss förlag";"Premiss förlag";
"25669";"Livpsic";"Livpsic";
"25670";"International Energy Agency (IEA)";"International Energy Agency (IEA)";
"25672";"European Academy of Occupational Health Psychology";"European Academy of Occupational Health Psychology";
"25673";"Asociación Internacional de Hispanistas";"Asociación Internacional de Hispanistas";
"25676";"Primrose Hall Publishing Group";"Primrose Hall Publishing Group";
"25677";"IFAC Papers Online";"IFAC Papers Online";
"25678";"Edizioni Tecnograf";"Edizioni Tecnograf";
"25679";"SINTEF akademisk forlag";"SINTEF Academic Press";"978-82-536"
"25680";"Modelling and Simulation Society of Australia and New Zealand Inc. (MSSANZ)";"Modelling and Simulation Society of Australia and New Zealand Inc. (MSSANZ)";
"25688";"Berkshire Publishing Group";"Berkshire Publishing Group";
"25689";"Social Science Reseach Council";"Social Science Reseach Council";
"25691";"Social Science Research Council";"Social Science Research Council";
"25694";"Ankara Pegem Akademi";"Ankara Pegem Akademi";
"25695";"Didymos-Verlag";"Didymos-Verlag";
"25696";"Apple Academic Press";"Apple Academic Press";
"25701";"Wydawnictwo Uniwersytetu Rzeszowskiego";"Wydawnictwo Uniwersytetu Rzeszowskiego";
"25702";"Leipziger Universitätsverlag";"Leipziger Universitätsverlag";"978-3-96023"
"25703";"Canadian Human-Computer Communications Society";"Canadian Human-Computer Communications Society";
"25704";"Hyperion";"Hyperion";
"25705";"Park Books";"Park Books";
"25707";"J. Ross Publishing";"J. Ross Publishing";
"25717";"Die Österreichische Computer Gesellschaft";"Die Österreichische Computer Gesellschaft";
"25719";"Nordic Centre for Welfare and Social Issues (NVC)";"Nordic Centre for Welfare and Social Issues (NVC)";
"25720";"Dalian University of Technology Press";"Dalian University of Technology Press";
"25723";"Aakar Books";"Aakar Books";
"25724";"Social Science Press";"Social Science Press";
"25725";"Åbo Akademi University Press";"Åbo Akademi University Press";
"25726";"ISCRAM Association";"ISCRAM Association";
"25728";"Oxford Bibliographies";"Oxford Bibliographies";"978-0-19539"
"25731";"UFRGS Editora";"UFRGS Editora";
"25732";"DRUID society";"DRUID society";
"25735";"ACM Digital Library";"ACM Digital Library";"978-1-450"
"25736";"Orfeus Forlag";"Orfeus Publishing";"978-82-93140"
"25737";"Edicoes pedago";"Edicoes pedago";"978-972-8980, 978-972-99357, 978-989-8449, 978-989-8655"
"25738";"Universus Academic Press";"Universus Academic Press";"978-91-87439"
"25739";"ITACA - Universitat Politècnica de València, Spain";"ITACA - Universitat Politècnica de València, Spain";
"25740";"AMAP - Arctic Monitoring and Assessment Programme";"AMAP - Arctic Monitoring and Assessment Programme";"978-82-7971"
"25746";"Dolbegae Publishers";"Dolbegae Publishers";
"25747";"Angelica forlag";"Angelica forlag";
"25749";"Forlaget Unge Pædagoger";"Forlaget Unge Pædagoger";
"25750";"Faculdade de Letras, Universidade Federal de Minas Gerais";"Faculdade de Letras, Universidade Federal de Minas Gerais";
"25751";"Freidrich-Ebert-Stiftung";"Freidrich-Ebert-Stiftung";
"25754";"Kogan page";"Kogan page";
"25758";"Seikyusha";"Seikyusha";
"25765";"Encyclopedia of Global Archaeology/Springer Verlag";"Encyclopedia of Global Archaeology/Springer Verlag";
"25768";"Alfred-Wegener-Institut für Polar- und Meeresforschung in der Helmholtz-Gemeinschaft";"Alfred-Wegener-Institut für Polar- und Meeresforschung in der Helmholtz-Gemeinschaft";
"25770";"Presses Universitaires de Limoges";"Presses Universitaires de Limoges";
"25771";"DGLR-Bericht";"DGLR-Bericht";
"25783";"Editura Universitatii de Vest din Timisoara / University of the West Timisoara Publishing House";"Editura Universitatii de Vest din Timisoara / University of the West Timisoara Publishing House";
"25784";"CAS - Research group in Complex Matter Science";"CAS - Research group in Complex Matter Science";
"25809";"Societat Catalana d'Història de la Ciència i de la Tècnica";"Societat Catalana d'Història de la Ciència i de la Tècnica";
"25810";"Izdatelskij centr RGGU";"Izdatelskij centr RGGU";
"25822";"Editora Blucher";"Editora Blucher";
"25825";"Editions A. Pedone";"Editions A. Pedone";
"25826";"Orkney Heritage Society";"Orkney Heritage Society";
"25827";"Universitätsbund Erlangen Nürnberg";"Universitätsbund Erlangen Nürnberg";
"25828";"SIGCHI";"SIGCHI";
"25829";"International Council of Museums Committee for Conservation (ICOM-CC)";"International Council of Museums Committee for Conservation (ICOM-CC)";"978-2-491997"
"25830";"Centre for Consumer Science, School of Business, Economics and Law at University of Gothenburg";"Centre for Consumer Science, School of Business, Economics and Law at University of Gothenburg";
"25831";"IET Digital Library";"IET Digital Library";
"25837";"The International Conference on High Performance Computing, Networking, Storage and Analysis";"The International Conference on High Performance Computing, Networking, Storage and Analysis";
"25885";"Eleven International Publishing";"Eleven International Publishing";
"25886";"Editora da UFRGS";"Editora da UFRGS";
"25889";"Pedagogisk psykologisk forlag as";"Pedagogisk psykologisk forlag as";
"25891";"Freunde der Salzburger Geschichte";"Freunde der Salzburger Geschichte";
"25892";"CISCL";"CISCL";
"25894";"Audio Lab, The Department of Electronics, The University of York";"Audio Lab, The Department of Electronics, The University of York";
"25899";"Romanian Institute for Research on National Minorities";"Romanian Institute for Research on National Minorities";
"25900";"Bunshindo";"Bunshindo";"978-4-8309"
"25901";"Cultural Centre, University of Malaya";"Cultural Centre, University of Malaya";"978-967"
"25902";"Internet und Gesellschaft Co:llaboratory";"Internet und Gesellschaft Co:llaboratory";"978-3-9503139"
"25903";"Naeil Yeoneun Yeoksa (History Which Opens Tomorrow)";"Naeil Yeoneun Yeoksa (History Which Opens Tomorrow)";
"25904";"VAS Verlag für Akademische Schriften";"VAS Verlag für Akademische Schriften";"978-3-88864"
"25911";"KIT Publishers";"KIT Publishers";"978-94-602"
"25912";"Micromega";"Micromega";"978-88-837"
"25913";"Bruno mondadori editore";"Bruno mondadori editore";
"25915";"Mimesis Edizioni";"Mimesis Edizioni";"978-88-575"
"25916";"Editions Gaussen Marseille";"Editions Gaussen Marseille";"978-23-569"
"25917";"GFZ German Research Centre";"GFZ German Research Centre";"978-3-9808780-0-7"
"25918";"International Environmental Modelling and Software Society";"International Environmental Modelling and Software Society";"978-88-9035"
"17799";"La Documentation française";"La Documentation française";
"17801";"Emerald Group Publishing Limited";"Emerald Group Publishing Limited";"978-0-85724"
"17816";"Aslib";"Aslib";"978-0-85142"
"17822";"Hofmann Verlag & Druckerei";"Hofmann Verlag & Druckerei";
"17842";"InderScience Publishers";"InderScience Publishers";"978-0-907776"
"17845";"Stiftelsen Skolen";"Stiftelsen Skolen";
"17853";"Dietrich Reimer Verlag";"Dietrich Reimer Verlag";
"17926";"Tufnell Press";"Tufnell Press";
"17927";"Civita";"Civita";
"17932";"Demos. Centre for Democracy and Human Rights Studies";"Demos. Centre for Democracy and Human Rights Studies";"979-98029"
"18037";"Narr Francke Attempto Verlag";"Narr Francke Attempto Verlag";"978-3-7720"
"18039";"Aarhus Universitetsforlag";"Aarhus Universitetsforlag";"978-87-7288"
"18040";"Abstrakt forlag";"Abstrakt forlag";"978-82-7935"
"18041";"Academia adacta";"Academia adacta";"978-91-89300"
"18042";"Academic Press";"Academic Press";"978-0-12"
"18043";"Acoustical Society of America (ASA)";"Acoustical Society of America (ASA)";"978-1-56396"
"18044";"Acton Publishers";"Acton Publishers";"978-9966-888"
"18045";"Akadémiai Kiadó";"Akadémiai Kiadó";"978-963-05"
"18046";"Akademie Verlag";"Akademie Verlag";"978-3-05"
"18047";"Akademisk Forlag";"Akademisk Forlag";"978-87-500"
"18048";"Akademisk Publisering";"Akademisk Publisering";"978-82-8152"
"18049";"Akribe Forlag";"Akribe Forlag";"978-82-91447"
"18050";"Allyn & Bacon";"Allyn & Bacon";"978-0-205"
"18051";"Almenna bókafélagið";"Almenna bókafélagið";"978-9979-3"
"18052";"Almqvist & Wiksell";"Almqvist & Wiksell";"978-91-21"
"18053";"Alvheim og Eide akademisk forlag";"Alvheim og Eide akademisk forlag";"978-82-90359"
"18054";"American Association of Petroleum Geologists (AAPG)";"American Association of Petroleum Geologists (AAPG)";"978-0-89181"
"18055";"American Ceramic Society";"American Ceramic Society";"978-0-91604"
"18056";"American Chemical Society (ACS)";"American Chemical Society (ACS)";"978-0-8412"
"18057";"American Geophysical Union (AGU)";"American Geophysical Union (AGU)";"978-0-87590"
"18058";"American Institute of Aeronautics and Astronautics (AIAA)";"American Institute of Aeronautics and Astronautics (AIAA)";"978-0-915928"
"18059";"American Institute of Biological Sciences";"American Institute of Biological Sciences";"978-0-936829"
"18060";"AIP Publishing (American Institute of Physics)";"AIP Publishing (American Institute of Physics)";"978-0-7354"
"18061";"American Mathematical Society (AMS)";"American Mathematical Society (AMS)";"978-0-8218"
"18062";"American Psychiatric Publishing";"American Psychiatric Publishing";"978-0-88048"
"18063";"American Psychological Association (APA)";"American Psychological Association (APA)";"978-0-912704"
"18064";"American Scientific Publishers";"American Scientific Publishers";"978-1-58883"
"18065";"American Society of Civil Engineers (ASCE)";"American Society of Civil Engineers (ASCE)";"978-0-7844"
"18066";"AMS Press Inc.";"AMS Press Inc.";"978-0-404"
"18067";"Amsterdam University Press";"Amsterdam University Press";"978-90-5356"
"18068";"Analytic Press";"Analytic Press";
"18069";"Arkiv Förlag";"Arkiv";"978-91-7924"
"18070";"Armand Colin";"Armand Colin";"978-2-200"
"18071";"Hodder Education";"Hodder Education";
"18072";"Aschehoug & Co";"Aschehoug & Co";"978-82-03"
"18073";"Ashgate";"Ashgate";
"18074";"ASM International";"ASM International";"978-0-87170"
"18075";"The American Society of Mechanical Engineers (ASME)";"The American Society of Mechanical Engineers (ASME)";"978-0-7918"
"18076";"Aspen Publishers";"Aspen Publishers";"978-0-444, 978-0-7355, 978-0-8342"
"18077";"Association for Computing Machinery (ACM)";"Association for Computing Machinery (ACM)";"978-1-4503, 978-1-59593"
"18078";"Association for the Advancement of Computing in Education (AACE)";"Association for the Advancement of Computing in Education (AACE)";"978-1-880094"
"18079";"ASTM International";"ASTM International";"978-0-8031"
"18080";"Ateneo De Manila University Press";"Ateneo De Manila University Press";"978-971-11"
"18081";"Attempto Verlag";"Attempto Verlag";"978-3-89308"
"18082";"Australian Academic Press";"Australian Academic Press";"978-1-875378"
"18083";"Baifukan";"Baifukan";"978-4-563"
"18084";"Balkema";"Balkema";"978-90-5809"
"18085";"Bardi Editore";"Bardi Editore";"978-88-85699"
"18086";"Begell House";"Begell House";"978-1-56700"
"18087";"Belknap Press of Harvard University Press";"Belknap Press of Harvard University Press";"978-0-674"
"18088";"Berg Publishers";"Berg Publishers";"978-0-85496"
"18089";"Berghahn Books";"Berghahn Books";"978-0-436, 978-1-84545"
"18090";"Biblion Verlag";"Biblion Verlag";"978-3-932331"
"18091";"Bibliopolis, Edizioni di Filosofia e Scienze";"Bibliopolis, Edizioni di Filosofia e Scienze";"978-88-7088"
"18092";"Billesø & Baltzer";"Billesø & Baltzer";"978-87-7842"
"18093";"Biochemical Society";"Biochemical Society";"978-0-904498"
"18094";"BIOS Scientific Publishers";"BIOS Scientific Publishers";
"18095";"Bioscientifica";"Bioscientifica";"978-1-901978"
"18096";"Birkhäuser Verlag";"Birkhäuser Verlag";"978-3-7643"
"18097";"Blackhorse Publishing";"Blackhorse Publishing";"978-83-912003"
"18098";"Blackwell Munksgaard";"Blackwell Munksgaard";"978-1-4051"
"18099";"Blackwell Verlag";"Blackwell Verlag";"978-3-8263"
"18100";"BMJ Books";"BMJ Books";"978-0-7279"
"18101";"Bokförlaget Atlantis";"Bokförlaget Atlantis";"978-91-7353"
"18102";"Bokförlaget Nya Doxa";"Bokförlaget Nya Doxa";"978-91-578"
"18103";"Bokförlaget Signum";"Bokförlaget Signum";"978-91-85330"
"18104";"Bonner Amerikanistische Studien (BAS)";"Bonner Amerikanistische Studien (BAS)";"978-3-9809362"
"18105";"Boréa Bokförlag";"Boréa Bokförlag";"978-91-89140"
"18106";"Borgen";"Borgen";"978-87-21"
"18107";"Brandes & Apsel Verlag";"Brandes & Apsel Verlag";"978-3-86099"
"18108";"Brepols";"Brepols";"978-2-503"
"18109";"Brill Academic Publishers";"Brill Academic Publishers";"978-0-391, 978-90-0430"
"18110";"British Computer Society (BCS)";"British Computer Society (BCS)";"978-0-901865"
"18111";"British Ecological Society";"British Ecological Society";"978-1-900579"
"18112";"British Library Publishing";"British Library Publishing";"978-0-7123"
"18113";"British Museum Press";"British Museum Press";"978-0-7141"
"18114";"Brookings Institution Press";"Brookings Institution Press";"978-0-8157"
"18115";"Bulzoni";"Bulzoni";"978-88-8319"
"18116";"Böhlau";"Böhlau";"978-3-8252"
"18117";"CABI Publishing";"CABI Publishing";"978-0-85198"
"18118";"Cambridge University Press";"Cambridge University Press";"978-0-511, 978-0-521, 978-1-107, 978-1-316"
"18119";"Campo das Letras";"Campo das Letras";"978-972-610, 978-972-8146, 978-989-625"
"18120";"Canadian Conservation Institute";"Canadian Conservation Institute";"978-0-662"
"18121";"Cappelen Damm Akademisk";"Cappelen Damm Akademisk";"978-82-02, 978-82-456"
"18122";"C.A.Reitzel";"C.A.Reitzel";"978-87-421"
"18123";"Carfax Publishing";"Carfax Publishing";
"18124";"Carl Heymanns Verlag";"Carl Heymanns Verlag";"978-3-452"
"18126";"Caspar Forlag";"Caspar Forlag";"978-82-90898"
"18127";"Catholic University of America Press";"Catholic University of America Press";"978-0-8132"
"18128";"Central European University Press";"Central European University Press";"978-1-85866"
"18129";"Channel View Publications";"Channel View Publications";"978-1-84541"
"18130";"Chatto & Windus";"Chatto & Windus";"978-0-7011"
"18131";"Chinese University Press";"Chinese University Press";"978-962-201"
"18132";"Christian Ejlers´s Forlag";"Christian Ejlers´s Forlag";"978-87-7241"
"18133";"Cognizant Communication Corporation";"Cognizant Communication Corporation";"978-1-882345"
"18134";"Cold Spring Harbor Laboratory Press (CSHL)";"Cold Spring Harbor Laboratory Press (CSHL)";"978-0-87969"
"18135";"Columbia University Press";"Columbia University Press";"978-0-231"
"18136";"Continuum";"Continuum";"978-0-8264"
"18137";"Copenhagen Business School Press";"Copenhagen Business School Press";"978-87-630"
"18138";"Cornell University Press (CUP)";"Cornell University Press (CUP)";"978-0-8014"
"18139";"Corwin Press";"Corwin Press";"978-0-7619, 978-1-4129"
"18140";"CRC Press";"CRC Press";"978-0-415, 978-0-8493, 978-1-4200"
"18141";"CSIRO Publishing";"CSIRO Publishing";"978-0-643"
"18142";"D. Reidel Publishing Group";"D. Reidel Publishing Group";"978-9-02770"
"18143";"Daidalos";"Daidalos";"978-91-7173"
"18144";"Dansklærerforeningen";"Dansklærerforeningen";"978-87-7704"
"18145";"De Luca";"De Luca";"978-88-8016"
"18146";"de Sitter Publications";"de Sitter Publications";"978-0-9698707"
"18147";"Delft University Press";"Delft University Press";"978-90-407"
"18148";"Det Norske Videnskaps-Akademi";"Det Norske Videnskaps-Akademi";"978-82-90888"
"18149";"Duckworth";"Duckworth";"978-0-7156"
"18150";"Duculot";"De Boeck supérieur";"978-2-8011, 978-2-8073"
"18151";"Duke University Press";"Duke University Press";"978-0-8223"
"18152";"Dunod Editeur";"Dunod Editeur";"978-2-10"
"18153";"E & FN Spon";"E & FN Spon";"978-0-413"
"18154";"Earthscan";"Earthscan";
"18155";"East European Monographs";"East European Monographs";"978-0-88033"
"18156";"Ediciones Doyma";"Ediciones Doyma";"978-84-7592"
"18157";"Ediciones Universitarias de Valparaiso";"Ediciones Universitarias de Valparaiso";"978-956-17"
"18158";"Edições Cosmos";"Edições Cosmos";"978-972-8081"
"18159";"Edinburgh University Press";"Edinburgh University Press";"978-0-7486"
"18160";"Éditions du Seuil";"Éditions du Seuil";"978-2-02"
"18161";"Éditions Kimé";"Éditions Kimé";"978-2-84174"
"18162";"Éditions Klincksieck";"Éditions Klincksieck";"978-2-252"
"18163";"Editora Campus Ltda.";"Editora Campus Ltda.";"978-85-352"
"18164";"Editorial Caminho";"Editorial Caminho";"978-972-21"
"18165";"Editorial El Manual Moderno";"Editorial El Manual Moderno";"978-968-426"
"18166";"Editorial Estampa";"Editorial Estampa";"978-972-33"
"18167";"Editorial Trillas";"Editorial Trillas";"978-968-24"
"18168";"Editorial Verbo";"Editorial Verbo";"978-972-22"
"18169";"EDP Sciences";"EDP Sciences";"978-2-86883"
"18170";"Edward Elgar Publishing";"Edward Elgar Publishing";"978-1-80037, 978-1-84064, 978-1-84844"
"18171";"Electa";"Electa";"978-88-370"
"18172";"Electrochemical Society";"Electrochemical Society";"978-1-56677"
"18173";"Elsevier";"Elsevier";"978-0-08, 978-0-444, 978-0-7020, 978-0-7204, 978-0-7216, 978-0-8016, 978-0-8038, 978-0-8151"
"18174";"Energy Institute";"Energy Institute";"978-0-85293"
"18175";"English Heritage";"English Heritage";"978-1-84802, 978-1-873592"
"18176";"ENS Editions";"ENS Editions";"978-2-84788"
"18177";"Equinox Publishing";"Equinox Publishing";"978-1-904768"
"18178";"E. Schweizerbart'sche Verlagsbuchhandlung";"E. Schweizerbart'sche Verlagsbuchhandlung";"978-3-510"
"18179";"European Space Agency";"European Space Agency";"978-92-9221"
"18180";"Fagbokforlaget";"Fagbokforlaget";"978-82-450"
"18181";"Felix Meiner Verlag";"Felix Meiner Verlag";"978-3-7873"
"18182";"Filander Verlag";"Filander Verlag";"978-3-930831"
"18183";"Folio-Verlag Dr. G. Wesselkamp";"Folio-Verlag Dr. G. Wesselkamp";"978-3-930327"
"18184";"Fordham University Press";"Fordham University Press";"978-0-8232"
