"Print ISSN";"Online ISSN";"Tidsskrift id";"Original tittel";"Internasjonal tittel"
"0065-1036";"1730-6264";"437166";"Acta Arithmetica";"Acta Arithmetica"
"0094-5765";"1879-2030";"437167";"Acta Astronautica";"Acta Astronautica"
"0001-5237";;"437168";"Acta Astronomica";"Acta Astronomica"
"0582-9879";;"437169";"Acta Biochimica et Biophysica Sinica";"Acta Biochimica et Biophysica Sinica"
"0001-527X";"1734-154X";"437170";"Acta Biochimica Polonica";"Acta Biochimica Polonica"
"0001-5296";"1898-0295";"437171";"Acta Biologica Cracoviensia. Series Botanica";"Acta Biologica Cracoviensia. Series Botanica"
"0001-530X";;"437172";"Acta Biologica Cracoviensia Series Zoologia";"Acta Biologica Cracoviensia Series Zoologia"
"0325-2957";"1851-6114";"437173";"Acta Bioquimica Clinica Latinoamericana";"Acta Bioquimica Clinica Latinoamericana"
"0138-4988";"1521-3846";"437174";"Acta Biotechnologica";"Acta Biotechnologica"
"1253-8078";"2166-3408";"437175";"Acta Botanica Gallica";"Acta Botanica Gallica"
"0044-5983";"1365-2001";"437176";"Acta Botanica Neerlandica";"Acta Botanica Neerlandica"
"1458-7017";;"437177";"Acta Byzantina Fennica";"Acta Byzantina Fennica"
"0001-5385";"1784-973X";"437178";"Acta Cardiologica";"Acta Cardiologica"
"1318-0207";"1580-3155";"437179";"Acta Chimica Slovenica";"Acta Chimica Slovenica"
"1508-1109";"1733-5329";"437180";"Acta Chiropterologica";"Acta Chiropterologica"
"1682-8631";"1682-4016";"437181";"European Surgery";"European Surgery"
"0001-5458";;"437182";"Acta Chirurgica Belgica";"Acta Chirurgica Belgica"
"0001-5466";;"437183";"Acta Chirurgica Italica";"Acta Chirurgica Italica"
"1233-2356";"2083-5736";"437184";"Acta Chromatographica";"Acta Chromatographica"
"0065-1141";"2227-538X";"437185";"Acta Classica";"Acta Classica"
"0418-453X";;"437186";"Acta Classica Universitatis Scientiarum Debreceniensis";"Acta Classica Universitatis Scientiarum Debreceniensis"
"0001-5512";"0567-7386";"437187";"Acta Clinica Belgica";"Acta Clinica Belgica"
"0108-7673";"1600-5724";"437188";"Acta Crystallographica Section A: Foundations of Crystallography";"Acta Crystallographica Section A: Foundations of Crystallography"
"0005-2175";;"438315";"Aviation week & space technology";"Aviation week & space technology"
"0108-7681";"1600-5740";"437189";"Acta Crystallographica Section B: Structural Science";"Acta Crystallographica Section B: Structural Science"
"0108-2701";"1600-5759";"437190";"Acta Crystallographica Section C: Crystal Structure Communications";"Acta Crystallographica Section C: Crystal Structure Communications"
"0907-4449";"1399-0047";"437191";"Acta Crystallographica Section D: Biological Crystallography";"Acta Crystallographica Section D: Biological Crystallography"
"0001-5547";"1938-2650";"437193";"Acta Cytologica";"Acta Cytologica"
"0940-5429";"1432-5233";"437194";"Acta Diabetologica";"Acta Diabetologica"
"1216-9803";"1588-2586";"437195";"Acta Ethnographica Hungarica";"Acta Ethnographica Hungarica"
"0873-9749";"1437-9546";"437196";"Acta Ethologica";"Acta Ethologica"
"0001-5644";;"437197";"Acta Gastro-Enterologica Belgica";"Acta Gastro-Enterologica Belgica"
"0567-7505";"2173-6537";"437198";"Acta Geologica Hispania";"Acta Geologica Hispania"
"0001-5792";"1421-9662";"437199";"Acta Haematologica";"Acta Haematologica"
"0044-5991";"1347-5800";"437200";"Acta Histochemica et Cytochemica";"Acta Histochemica et Cytochemica"
"0001-5849";;"437201";"Acta Historica Academiae Scientiarum Hungaricae";"Acta Historica Academiae Scientiarum Hungaricae"
"0567-7572";;"437202";"Acta Horticulturae";"Acta Horticulturae"
"0323-4320";"1521-401X";"437203";"Acta Hydrochimica et Hydrobiologica";"Acta Hydrochimica et Hydrobiologica"
"0904-2067";;"437204";"Acta Hyperborea";"Acta Hyperborea"
"1503-2981";;"437205";"Acta Ibseniana: Centre for Ibsen Studies, University of Oslo";"Acta Ibseniana: Centre for Ibsen Studies, University of Oslo"
"0001-5903";"1432-0525";"437206";"Acta Informatica";"Acta Informatica"
"1216-2574";"1588-2616";"437207";"Acta Juridica Hungarica";"Acta Juridica Hungarica"
"1216-8076";"1588-2624";"437208";"Acta Linguistica Hungarica";"Acta Linguistica Hungarica"
"0716-0909";"0717-6848";"437209";"Acta Literaria";"Acta Literaria"
"1359-6454";"1873-2453";"437210";"Acta Materialia";"Acta Materialia"
"0001-5962";"1871-2509";"437211";"Acta Mathematica";"Acta Mathematica"
"0236-5294";"1588-2632";"437213";"Acta Mathematica Hungarica";"Acta Mathematica Hungarica"
"0252-9602";"1572-9087";"437214";"Acta Mathematica Scientia";"Acta Mathematica Scientia"
"1439-8516";"1439-7617";"437215";"Acta Mathematica Sinica. English series";"Acta Mathematica Sinica. English series"
"0168-9673";"1618-3932";"437217";"Acta Mathematicae Applicatae Sinica (English Series)";"Acta Mathematicae Applicatae Sinica (English Series)"
"0001-5970";"1619-6937";"437218";"Acta Mechanica";"Acta Mechanica"
"0567-7718";"1614-3116";"437219";"Acta Mechanica Sinica";"Acta Mechanica Sinica"
"0894-9166";"1860-2134";"437220";"Acta Mechanica Solida Sinica";"Acta Mechanica Solida Sinica"
"0303-8173";"1563-2571";"437221";"Acta Medica Austriaca";"Acta Medica Austriaca"
"0386-300X";;"437222";"Acta Medica Okayama";"Acta Medica Okayama"
"0412-1961";;"437223";"Jinshu Xuebao";"Acta Metallurgica Sinica"
"0001-6233";;"437224";"Acta Mozartiana";"Acta Mozartiana"
"0001-6241";"2296-4339";"437225";"Acta Musicologica";"Acta Musicologica"
"0065-1400";"1689-0035";"437226";"Acta Neurobiologiae Experimentalis";"Acta Neurobiologiae Experimentalis"
"0300-9009";"2240-2993";"437227";"Acta Neurologica Belgica";"Acta Neurologica Belgica"
"0065-1427";"1600-5449";"437228";"Acta Neurologica Scandinavica, Supplementum";"Acta Neurologica Scandinavica, Supplementum"
"0001-6322";"1432-0533";"437229";"Acta Neuropathologica";"Acta Neuropathologica"
"0924-2708";"1601-5215";"437230";"Acta Neuropsychiatrica";"Acta Neuropsychiatrica"
"0962-4929";"1474-0508";"437231";"Acta Numerica";"Acta Numerica"
"0300-8835";;"437232";"Acta Obstetricia et Gynecologica Scandinavica, Supplement";"Acta Obstetricia et Gynecologica Scandinavica, Supplement"
"0253-505X";"1869-1099";"437233";"Acta Oceanologica Sinica";"Acta Oceanologica Sinica"
"0065-1451";;"437234";"Acta Ophthalmologica, Supplementum";"Acta Ophthalmologica, Supplementum"
"0001-6454";"1734-8471";"437235";"Acta Ornithologica";"Acta Ornithologica"
"1745-3674";"1745-3682";"437236";"Acta Orthopaedica";"Acta Orthopaedica"
"0365-5237";"1651-2464";"437237";"Acta oto-laryngologica. Supplementum";"Acta oto-laryngologica. Supplementum"
"0374-5600";;"437238";"Acta Paediatrica Japonica";"Acta Paediatrica Japonica"
"0567-7920";"1732-2421";"437239";"Acta Palaeontologica Polonica";"Acta Palaeontologica Polonica"
"1543-1614";"1526-775X";"441773";"International Journal of Business & Economics";"International Journal of Business & Economics"
"1462-8848";"1471-1796";"441774";"International Journal of Cardiovascular Interventions";"International Journal of Cardiovascular Interventions"
"1364-0461";"1743-1336";"441775";"International Journal of Cast Metals Research";"International Journal of Cast Metals Research"
"0538-8066";"1097-4601";"441776";"International Journal of Chemical Kinetics";"International Journal of Chemical Kinetics"
"1364-436X";"1469-8455";"441777";"International Journal of Children's Spirituality";"International Journal of Children's Spirituality"
"0098-9886";"1097-007X";"441778";"International journal of circuit theory and applications";"International journal of circuit theory and applications"
"0899-8418";"1097-0088";"441779";"International Journal of Climatology";"International Journal of Climatology"
"0940-5437";"1434-4467";"441780";"International Journal of Clinical and Laboratory Research";"International Journal of Clinical and Laboratory Research"
"0020-7144";"1744-5183";"441781";"International Journal of Clinical and Experimental Hypnosis";"International Journal of Clinical and Experimental Hypnosis"
"0167-9945";"2214-7314";"441782";"International Journal of Clinical Monitoring and Computing";"International Journal of Clinical Monitoring and Computing"
"1341-9625";"1437-7772";"441783";"International Journal of Clinical Oncology";"International Journal of Clinical Oncology"
"0946-1965";;"441784";"International Journal of Clinical Pharmacology and Therapeutics";"International Journal of Clinical Pharmacology and Therapeutics"
"1368-5031";"1742-1241";"441785";"International journal of clinical practice";"International journal of clinical practice"
"0955-6222";"1758-5953";"441786";"International Journal of Clothing Science and Technology";"International Journal of Clothing Science and Technology"
"0166-5162";"1872-7840";"441787";"International Journal of Coal Geology";"International Journal of Coal Geology"
"1569-2167";"1569-9803";"441788";"International Journal of Cognition and Technology";"International Journal of Cognition and Technology"
"1088-6362";"1532-7566";"441789";"International Journal of Cognitive Ergonomics";"International Journal of Cognitive Ergonomics"
"0179-1958";"1432-1262";"441790";"International Journal of Colorectal Disease";"International Journal of Colorectal Disease"
"1074-5351";"1099-1131";"441791";"International Journal of Communication Systems";"International Journal of Communication Systems"
"0952-617X";"1875-838X";"441793";"International Journal of Comparative Labour Law and Industrial Relations";"International Journal of Comparative Labour Law and Industrial Relations"
"1465-8763";"2047-6086";"441794";"International Journal of Computational Engineering Science";"International Journal of Computational Engineering Science"
"1061-8562";"1029-0257";"441795";"International journal of computational fluid dynamics (Print)";"International journal of computational fluid dynamics (Print)"
"0218-1959";;"441796";"International journal of computational geometry and applications";"International journal of computational geometry and applications"
"1469-0268";"1757-5885";"441797";"International Journal of Computational Intelligence and Applications";"International Journal of Computational Intelligence and Applications"
"0952-8091";"1741-5047";"441798";"International journal of computer applications in technology";"International journal of computer applications in technology"
"0951-192X";"1362-3052";"441799";"International journal of computer integrated manufacturing (Print)";"International journal of computer integrated manufacturing (Print)"
"0020-7160";"1029-0265";"441800";"International Journal of Computer Mathematics";"International Journal of Computer Mathematics"
"0219-4279";;"441801";"International Journal of Computer Processing of Oriental Languages";"International Journal of Computer Processing of Oriental Languages"
"0920-5691";"1573-1405";"441802";"International Journal of Computer Vision";"International Journal of Computer Vision"
"1466-5115";;"441803";"International Journal of Computer-Integrated Design and Construction";"International Journal of Computer-Integrated Design and Construction"
"1382-3892";"1573-1766";"441804";"International Journal of Computers for Mathematical Learning";"International Journal of Computers for Mathematical Learning"
"1474-2640";"1474-2659";"441805";"International Journal of Constitutional Law";"International Journal of Constitutional Law"
"1470-6423";"1470-6431";"441806";"International Journal of Consumer Studies";"International Journal of Consumer Studies"
"0959-6119";"1757-1049";"441807";"International Journal of Contemporary Hospitality Management";"International Journal of Contemporary Hospitality Management"
"0020-7179";"1366-5820";"441808";"International Journal of Control";"International Journal of Control"
"0218-2157";"0218-8430";"441809";"International journal of intelligent and cooperative information systems";"International journal of intelligent and cooperative information systems"
"1384-6655";"1569-9811";"441810";"International Journal of Corpus Linguistics";"International Journal of Corpus Linguistics"
"0142-5463";"1468-2494";"441811";"International Journal of Cosmetic Science";"International Journal of Cosmetic Science"
"1530-8200";"1557-8895";"441812";"International Journal of Cosmetic Surgery and Aesthetic Dermatology";"International Journal of Cosmetic Surgery and Aesthetic Dermatology"
"1358-8265";"1754-2111";"441813";"International Journal of Crashworthiness";"International Journal of Crashworthiness"
"1470-5958";"1741-2838";"441814";"International Journal of Cross Cultural Management";"International Journal of Cross Cultural Management"
"1367-8779";"1460-356X";"441815";"International journal of cultural studies";"International journal of cultural studies"
"0886-3849";;"444049";"Journal of tumor marker oncology";"Journal of tumor marker oncology"
"1364-727X";"1471-0307";"441816";"International Journal of Dairy Technology";"International Journal of Dairy Technology"
"1056-7895";"1530-7921";"441817";"International journal of damage mechanics";"International journal of damage mechanics"
"1601-5029";"1601-5037";"441818";"International Journal of Dental Hygiene";"International Journal of Dental Hygiene"
"0011-9059";"1365-4632";"441819";"International Journal of Dermatology";"International Journal of Dermatology"
"1034-912X";"1465-346X";"441821";"International Journal of Disability, Development and Education";"International Journal of Disability, Development and Education"
"1503-1438";"1755-4713";"441822";"International Journal of Disaster Medicine";"International Journal of Disaster Medicine"
"0966-9760";"1469-8463";"441823";"International Journal of Early Years Education";"International Journal of Early Years Education"
"1437-3254";"1437-3262";"441824";"International journal of earth sciences";"International journal of earth sciences"
"1389-9791";"1570-0623";"441825";"International Journal of Education and Religion";"International Journal of Education and Religion"
"0951-354X";"1758-6518";"441827";"International Journal of Educational Management";"International Journal of Educational Management"
"0020-7209";"2050-4578";"441829";"International Journal of Electrical Engineering Education";"International Journal of Electrical Engineering Education"
"0959-9754";"1099-1816";"444101";"Journal of Water Law";"Journal of Water Law"
"1086-4415";"1557-9301";"441830";"International Journal of Electronic Commerce";"International Journal of Electronic Commerce"
"0020-7217";"1362-3060";"441831";"International journal of electronics (Print)";"International journal of electronics (Print)"
"0363-907X";"1099-114X";"441832";"International Journal of Energy Research";"International Journal of Energy Research"
"1468-0874";"2041-3149";"441833";"International Journal of Engine Research";"International Journal of Engine Research"
"0949-149X";;"441834";"International Journal of Engineering Education";"International Journal of Engineering Education"
"1472-8915";;"441835";"International journal of engineering intelligent systems for electrical engineering and communications";"International journal of engineering intelligent systems for electrical engineering and communications"
"0020-7225";"1879-2197";"441836";"International Journal of Engineering Science";"International Journal of Engineering Science"
"1355-2554";"1758-6534";"441837";"International Journal of Entrepreneurial Behaviour & Research";"International Journal of Entrepreneurial Behaviour & Research"
"1465-7503";"2043-6882";"441838";"International Journal of Entrepreneurship and Innovation";"International Journal of Entrepreneurship and Innovation"
"0306-7319";"1029-0397";"441839";"International Journal of Environmental Analytical Chemistry";"International Journal of Environmental Analytical Chemistry"
"0960-3123";"1369-1619";"441840";"International Journal of Environmental Health Research (IJEHR)";"International Journal of Environmental Health Research (IJEHR)"
"0020-7233";"1029-0400";"441841";"International Journal of Environmental Studies";"International Journal of Environmental Studies"
"1526-422X";"1937-433X";"441842";"International Journal of Ethics";"International Journal of Ethics"
"0959-9673";"1365-2613";"441843";"International journal of experimental pathology (Print)";"International journal of experimental pathology (Print)"
"0142-1123";"1879-3452";"441844";"International Journal of Fatigue";"International Journal of Fatigue"
"1534-892X";"1938-3622";"441845";"International journal of fertility and women's medicine";"International journal of fertility and women's medicine"
"1076-9307";"1099-1158";"441846";"International Journal of Finance and Economics";"International Journal of Finance and Economics"
"0920-6299";"1572-9370";"441847";"International journal of flexible manufacturing systems";"International journal of flexible manufacturing systems"
"0168-1605";"1879-3460";"441848";"International journal of food microbiology";"International journal of food microbiology"
"1094-2912";"1532-2386";"441849";"International journal of food properties";"International journal of food properties"
"0950-5423";"1365-2621";"441850";"International Journal of Food Science & Technology";"International Journal of Food Science & Technology"
"0169-2070";"1872-8200";"441851";"International Journal of Forecasting";"International Journal of Forecasting"
"1494-2119";"1913-2220";"441852";"International Journal of Forest Engineering";"International Journal of Forest Engineering"
"0129-0541";;"441853";"International Journal of Foundations of Computer Science";"International Journal of Foundations of Computer Science"
"0376-9429";"1573-2673";"441854";"International Journal of Fracture";"International Journal of Fracture"
"1388-817X";"1875-8304";"441855";"International Journal of Franchising and Distribution Law";"International Journal of Franchising and Distribution Law"
"0020-7276";"1432-1270";"441856";"International Journal of Game Theory";"International Journal of Game Theory"
"0308-1079";"1563-5104";"441857";"International Journal of General Systems";"International Journal of General Systems"
"1365-8816";"1365-8824";"441858";"International Journal of Geographical Information Science (IJGIS)";"International Journal of Geographical Information Science (IJGIS)"
"1524-4423";"2163-3533";"441859";"International Journal of Geomagnetism and Aeronomy";"International Journal of Geomagnetism and Aeronomy"
"1532-3641";"1943-5622";"441860";"International Journal of Geomechanics";"International Journal of Geomechanics"
"0020-7284";"1943-2836";"441861";"International journal of group psychotherapy";"International journal of group psychotherapy"
"0277-1691";"1538-7151";"441862";"International Journal of Gynecological Pathology";"International Journal of Gynecological Pathology"
"1389-6563";"1573-6962";"441863";"International Journal of Health Care Finance and Economics";"International Journal of Health Care Finance and Economics"
"1366-0756";"2051-3135";"441864";"Leadership in helath services";"Leadership in helath services"
"0749-6753";"1099-1751";"441866";"International Journal of Health Planning and Management";"International Journal of Health Planning and Management"
"0142-727X";"1879-2278";"441867";"International Journal of Heat and Fluid Flow";"International Journal of Heat and Fluid Flow"
"0017-9310";"1879-2189";"441868";"International Journal of Heat and Mass Transfer";"International Journal of Heat and Mass Transfer"
"0925-5710";"1865-3774";"441869";"International journal of hematology";"International journal of hematology"
"0129-0533";;"441870";"International journal of high speed computing";"International journal of high speed computing"
"1092-7697";"1573-7748";"441871";"International Journal of Historical Archaeology";"International Journal of Historical Archaeology"
"1525-6480";"1525-6499";"441872";"International Journal of Hospitality & Tourism Administration";"International Journal of Hospitality & Tourism Administration"
"0278-4319";"1873-4693";"441873";"International Journal of Hospitality Management";"International Journal of Hospitality Management"
"0388-0001";"1873-5746";"444298";"Language Sciences";"Language Sciences"
"1364-2987";"1744-053X";"441874";"International Journal of Human Rights";"International Journal of Human Rights"
"1071-5819";"1095-9300";"441875";"International Journal of Human-Computer Studies";"International Journal of Human-Computer Studies"
"0360-3199";"1879-3487";"441876";"International Journal of Hydrogen Energy";"International Journal of Hydrogen Energy"
"1438-4639";"1618-131X";"441877";"International Journal of Hygiene and Environmental Health";"International Journal of Hygiene and Environmental Health"
"0265-6736";"1464-5157";"441878";"International Journal of Hyperthermia";"International Journal of Hyperthermia"
"0219-4678";;"441879";"International Journal of Image and Graphics";"International Journal of Image and Graphics"
"0899-9457";"1098-1098";"441880";"International journal of imaging systems and technology (Print)";"International journal of imaging systems and technology (Print)"
"0394-6320";"2058-7384";"441881";"International Journal of Immunopathology and Pharmacology";"International Journal of Immunopathology and Pharmacology"
"0192-0561";"1879-3495";"441882";"International Journal of Immunopharmacology";"International Journal of Immunopharmacology"
"0255-9625";;"441883";"International journal of immunotherapy";"International journal of immunotherapy"
"0734-743X";"1879-3509";"441884";"International Journal of Impact Engineering";"International Journal of Impact Engineering"
"0955-9930";"1476-5489";"441885";"International journal of impotence research";"International journal of impotence research"
"1360-3116";"1464-5173";"441886";"International Journal of Inclusive Education";"International Journal of Inclusive Education"
"1072-4761";"1943-670X";"441887";"International journal of industrial engineering";"International journal of industrial engineering"
"1201-9712";"1878-3511";"441888";"International Journal of Infectious Diseases";"International Journal of Infectious Diseases"
"0754-023X";;"444426";"L'Infini";"L'Infini"
"1064-2269";"1555-6557";"442641";"Journal of communications technology & electronics";"Journal of communications technology & electronics"
"0094-5145";"1573-3610";"442642";"Journal of community health";"Journal of community health"
"0737-0016";"1532-7655";"442643";"Journal of Community Health Nursing";"Journal of Community Health Nursing"
"1070-5422";"1543-3706";"442644";"Journal of Community Practice";"Journal of Community Practice"
"0090-4392";"1520-6629";"442645";"Journal of Community Psychology";"Journal of Community Psychology"
"0022-0930";"1608-3202";"442646";"Journal of Evolutionary Biochemistry and Physiology";"Journal of Evolutionary Biochemistry and Physiology"
"0147-5967";"1095-7227";"442647";"Journal of comparative economics";"Journal of comparative economics"
"0021-9975";"1532-3129";"442648";"Journal of Comparative Pathology";"Journal of Comparative Pathology"
"1387-6988";"1572-5448";"442649";"Journal of Comparative Policy Analysis";"Journal of Comparative Policy Analysis"
"0735-7036";"1939-2087";"442650";"Journal of Comparative Psychology";"Journal of Comparative Psychology"
"0021-9983";"1530-793X";"442651";"Journal of composite materials";"Journal of composite materials"
"1090-0268";"1943-5614";"442652";"Journal of composites for construction";"Journal of composites for construction"
"0884-6804";"1945-7537";"442653";"Journal of composites technology & research";"Journal of composites technology & research"
"0218-396X";;"442654";"Journal of Computational Acoustics";"Journal of Computational Acoustics"
"1521-1398";"1572-9206";"442655";"Journal of Computational Analysis And Applications";"Journal of Computational Analysis And Applications"
"0377-0427";"1879-1778";"442656";"Journal of Computational and Applied Mathematics";"Journal of Computational and Applied Mathematics"
"1061-8600";"1537-2715";"442657";"Journal of Computational And Graphical Statistics (JCGS)";"Journal of Computational And Graphical Statistics (JCGS)"
"1066-5277";"1557-8666";"442658";"Journal of Computational Biology";"Journal of Computational Biology"
"0192-8651";"1096-987X";"442659";"Journal of Computational Chemistry";"Journal of Computational Chemistry"
"1569-8025";"1572-8137";"442660";"Journal of Computational Electronics";"Journal of Computational Electronics"
"1460-1559";"1755-2850";"442661";"Journal of Computational Finance";"Journal of Computational Finance"
"0254-9409";"1991-7139";"442662";"Journal of Computational Mathematics";"Journal of Computational Mathematics"
"1472-7978";"1875-8983";"442663";"Journal of Computational Methods in Sciences and Engineering";"Journal of Computational Methods in Sciences and Engineering"
"0021-9991";"1090-2716";"442664";"Journal of Computational Physics";"Journal of Computational Physics"
"0022-0000";"1090-2724";"442665";"Journal of computer and system sciences";"Journal of computer and system sciences"
"1064-2307";"1555-6530";"442666";"Journal of computer & systems sciences international";"Journal of computer & systems sciences international"
"0266-4909";"1365-2729";"442667";"Journal of Computer Assisted Learning";"Journal of Computer Assisted Learning"
"0363-8715";"1532-3145";"442668";"Journal of computer assisted tomography";"Journal of computer assisted tomography"
"1347-1767";"1347-3824";"442669";"Journal of Computer Chemistry, Japan";"Journal of Computer Chemistry, Japan"
"0887-4417";"2380-2057";"442670";"Journal of Computer Information Systems";"Journal of Computer Information Systems"
"1000-9000";"1860-4749";"442671";"Journal of Computer Science and Technology";"Journal of Computer Science and Technology"
"0926-227X";"1875-8924";"442672";"Journal of Computer Security";"Journal of Computer Security"
"0928-1045";"1573-4900";"442673";"Journal of Computer-Aided Materials Design";"Journal of Computer-Aided Materials Design"
"1530-9827";"1944-7078";"442675";"Journal of Computing and Information Science in Engineering";"Journal of Computing and Information Science in Engineering"
"0887-3801";"1943-5487";"442676";"Journal of computing in civil engineering";"Journal of computing in civil engineering"
"0022-0019";;"442677";"Journal of Conchology";"Journal of Conchology"
"1467-7954";"1467-7962";"442678";"Journal of Conflict and Security Law";"Journal of Conflict and Security Law"
"1468-3768";;"442679";"Journal of Congestive Heart Failure & Circulatory Support";"Journal of Congestive Heart Failure & Circulatory Support"
"1355-8250";"2051-2201";"442680";"Journal of Consciousness Studies";"Journal of Consciousness Studies"
"0733-9364";"1943-7862";"442682";"Journal of construction engineering and management";"Journal of construction engineering and management"
"1609-9451";;"442683";"Journal of Construction Research";"Journal of Construction Research"
"0143-974X";"1873-5983";"442684";"Journal of constructional steel research";"Journal of constructional steel research"
"1072-0537";"1521-0650";"442685";"Journal of constructivist psychology";"Journal of constructivist psychology"
"0022-0078";"1745-6606";"442686";"Journal of Consumer Affairs";"Journal of Consumer Affairs"
"1469-5405";"1741-2900";"442687";"Journal of Consumer Culture";"Journal of Consumer Culture"
"0736-3761";"2052-1200";"442688";"Journal of Consumer Marketing";"Journal of Consumer Marketing"
"0026-4423";"1460-2113";"444849";"Mind";"Mind"
"0168-7034";"1573-0700";"442689";"Journal of Consumer Policy";"Journal of Consumer Policy"
"1057-7408";"1532-7663";"442690";"Journal of Consumer Psychology";"Journal of Consumer Psychology"
"0093-5301";"1537-5277";"442691";"Journal of Consumer Research";"Journal of Consumer Research"
"0169-7722";"1873-6009";"442692";"Journal of Contaminant Hydrology";"Journal of Contaminant Hydrology"
"1067-0564";"1469-9400";"442693";"Journal of Contemporary China";"Journal of Contemporary China"
"1043-9862";"1552-5406";"442694";"Journal of Contemporary Criminal Justice";"Journal of Contemporary Criminal Justice"
"0891-2416";"1552-5414";"442696";"Journal of contemporary ethnography";"Journal of contemporary ethnography"
"1478-2804";"1478-2790";"442697";"Journal of Contemporary European Studies";"Journal of Contemporary European Studies"
"0022-0094";"1461-7250";"442698";"Journal of Contemporary History";"Journal of Contemporary History"
"0022-0116";"1573-3564";"442699";"Journal of Contemporary Psychotherapy";"Journal of Contemporary Psychotherapy"
"1353-7903";"1469-9419";"442700";"Journal of Contemporary Religion";"Journal of Contemporary Religion"
"0966-0879";"1468-5973";"442701";"Journal of Contingencies and Crisis Management";"Journal of Contingencies and Crisis Management"
"0894-1912";"1554-558X";"442702";"Journal of Continuing Education in the Health Professions";"Journal of Continuing Education in the Health Professions"
"0168-3659";"1873-4995";"442703";"Journal of Controlled Release";"Journal of Controlled Release"
"0095-8972";"1029-0389";"442704";"Journal of coordination chemistry";"Journal of coordination chemistry"
"0929-1199";"1872-6313";"442705";"Journal of Corporate Finance";"Journal of Corporate Finance"
"1476-4172";"1476-4180";"442707";"Journal of Cosmetic & Laser Therapy";"Journal of Cosmetic & Laser Therapy"
"1473-2130";"1473-2165";"442708";"Journal of Cosmetic Dermatology";"Journal of Cosmetic Dermatology"
"1525-7886";"0037-9832";"442709";"Journal of cosmetic science";"Journal of cosmetic science"
"1523-6919";"1524-3303";"442711";"Journal of Cotton Science";"Journal of Cotton Science"
"0748-9633";"1556-6676";"442712";"Journal of Counseling and Development";"Journal of Counseling and Development"
"0022-0167";"1939-2168";"442713";"Journal of Counseling Psychology";"Journal of Counseling Psychology"
"0092-0517";;"442714";"Journal of country music";"Journal of country music"
"1533-2691";"1533-2683";"442715";"Journal of Couple & Relationship Therapy";"Journal of Couple & Relationship Therapy"
"0897-4446";;"442716";"Journal of Couples Therapy";"Journal of Couples Therapy"
"0270-4145";"1600-0552";"442717";"Journal of Craniofacial Genetics and Developmental Biology";"Journal of Craniofacial Genetics and Developmental Biology"
"1049-2275";"1536-3732";"442718";"The Journal of craniofacial surgery (Print)";"The Journal of craniofacial surgery (Print)"
"1010-5182";"1878-4119";"442719";"Journal of Cranio-Maxillofacial Surgery";"Journal of Cranio-Maxillofacial Surgery"
"0022-0175";"2162-6057";"442720";"The Journal of creative behavior";"The Journal of creative behavior"
"0047-2352";"1873-6203";"442721";"Journal of criminal justice";"Journal of criminal justice"
"0091-4169";"2160-0325";"442723";"Journal of criminal law & criminology";"Journal of criminal law & criminology"
"0883-9441";"1557-8615";"442724";"Journal of critical care";"Journal of critical care"
"1092-678X";"1540-4110";"442725";"Journal of Crop Production";"Journal of Crop Production"
"0278-0372";"1937-240X";"442726";"Journal of Crustacean Biology";"Journal of Crustacean Biology"
"0933-2790";"1432-1378";"442727";"Journal of Cryptology";"Journal of Cryptology"
"0022-0248";"1873-5002";"442728";"Journal of Crystal Growth";"Journal of Crystal Growth"
"0885-2545";"1573-6997";"442729";"Journal of Cultural Economics";"Journal of Cultural Economics"
"1296-2074";"1778-3674";"442730";"Journal of Cultural Heritage";"Journal of Cultural Heritage"
"1475-3928";"1477-6421";"442731";"Journal of Customer Behaviour";"Journal of Customer Behaviour"
"1203-4754";"1615-7109";"442732";"Journal of Cutaneous Medicine and Surgery (JCMS)";"Journal of Cutaneous Medicine and Surgery (JCMS)"
"0303-6987";"1600-0560";"442733";"Journal of cutaneous pathology";"Journal of cutaneous pathology"
"1569-1993";"1873-5010";"442734";"Journal of Cystic Fibrosis";"Journal of Cystic Fibrosis"
"0022-0299";"1469-7629";"442735";"Journal of Dairy Research";"Journal of Dairy Research"
"0022-0302";"1525-3198";"442736";"Journal of Dairy Science (JDS)";"Journal of Dairy Science (JDS)"
"0108-464X";;"442737";"Journal of Danish Archaeology";"Journal of Danish Archaeology"
"1063-8016";"1533-8010";"442739";"Journal of Database Management";"Journal of Database Management"
"1081-4159";"1465-7325";"442740";"Journal of Deaf Studies and Deaf Education";"Journal of Deaf Studies and Deaf Education"
"1043-254X";;"442741";"Journal of Dental Hygiene";"Journal of Dental Hygiene"
"0300-5712";"1879-176X";"442742";"Journal of Dentistry";"Journal of Dentistry"
"0923-1811";"1873-569X";"442743";"Journal of dermatological science (Amsterdam)";"Journal of dermatological science (Amsterdam)"
"0954-6634";"1471-1753";"442744";"Journal of dermatological treatment (Print)";"Journal of dermatological treatment (Print)"
"0385-2407";"1346-8138";"442745";"Journal of dermatology (Print)";"Journal of dermatology (Print)"
"0952-4649";"1741-7279";"442746";"Journal of Design History";"Journal of Design History"
"0022-037X";"1548-2278";"442747";"Journal of Developing Areas";"Journal of Developing Areas"
"0128-3863";;"442748";"Journal of Development Communication";"Journal of Development Communication"
"0253-7222";;"442749";"Journal of Dharma";"Journal of Dharma"
